"Title","State support"
"Location","United Kingdom"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","617","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","617","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","617","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","617","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","617","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","48","3,208","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","47","3,208","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","3,208","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","18","3,208","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","43","3,208","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","27","3,208","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","3,208","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","3,208","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","3,208","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","3,208","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","3,208","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","3,208","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","3,208","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","3,208","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","3,208","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","3,208","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","3,208","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","3,208","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","3,208","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","3,208","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","46","1,299","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","45","1,299","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,299","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","1,299","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","43","1,299","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","23","1,299","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,299","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,299","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,299","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,299","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,299","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,299","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,299","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,299","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","1,299","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,299","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,299","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,299","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,299","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,299","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,299","","","",""
